시험고유번호,시험명,과목,대단원,중단원,정답,배점,표준반응시간(초),표준총응시시간(초),생성일,과정번호,분류코드
590,현일고1_중간대비최종_002,,,,"[5, 30, 5, 5, 1, 5, 5, 2]","[12, 12, 12, 12, 13, 13, 13, 13]","[60, 60, 60, 60, 60, 60, 60, 60]",480,2023/04/30,0,"['STH_AAC3_0005', 'STH_ABB3_0002', 'STH_AAA3_0003', 'STH_ABB3_0007', 'STH_ABA3_0007', 'STH_AAB3_0013', 'STH_AAC3_0004', 'STH_ABC3_0019']"
591,현일고1_중간대비최종_003,,,,"[2, 5, 2, 2, 3, 1, 4, 3]","[12, 12, 12, 12, 13, 13, 13, 13]","[60, 60, 60, 60, 60, 60, 60, 60]",480,2023/04/30,0,"['STH_AAB3_0011', 'STH_ABC3_0008', 'STH_AAB3_0017', 'STH_ABB3_0006', 'STH_AAB3_0015', 'STH_ABB3_0005', 'STH_ABC3_0005', 'STH_ABC3_0020']"
592,현일고1_중간대비최종_004,,,,"[1, 3, 5, 4, 1, 1, 4, 4]","[12, 12, 12, 12, 13, 13, 13, 13]","[60, 60, 60, 60, 60, 60, 60, 60]",480,2023/04/30,0,"['STH_AAB3_0020', 'STH_ABC3_0003', 'STH_ABC3_0018', 'STH_ABA3_0002', 'STH_AAC3_0010', 'STH_ABC3_0010', 'STH_AAA3_0008', 'STH_ABC3_0017']"
594,전효린_오답모음_001,,,,"[39, 4, 2, 1, 1, 5, 4, 5, 42, -2, 3, 1, 4, 4, 1, 3, 25, 3, 2, 3, 3, 4, 9, 1, 346, 4, 2, 45, 3, 1, 2, 4, 1, 4, 13, 5, 4, 33, -30, 7, 4, 2, 3, 3]","[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]","[60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60]",2640,2023/04/30,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
595,수학1_시험 전 최종,,,,"[4, 6, 2, -2, 15, 60, 4, 2, 4, 1, 4, 2, 4, 4, 4, 2, 3, 2, 2, 4, 9, 8, 3, 1, 18, 2, 2, 1, 4, 5, 3, 4, 3, 2, 5, 4, 4, 2, 4, 3, 3, 4, 3, 4, 4, 4, 2, 2, 5, 2, 3]","[1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 6]","[60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 180]",3180,2023/05/01,0,
596,삼각함수(추가),,,,"[3, 1, 1, 4, 3, 4, 4, 3, 5, 2, 1, 3, 2, 5]","[18, 6, 6, 6, 6, 6, 6, 6, 6, 6, 7, 7, 7, 7]","[180, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60, 60]",960,2023/05/01,0,
597,구미고1 수학2_중간대비_001,,,,"[4, 2, 3, 2, 3, 1, 4, 3]","[12, 12, 12, 12, 13, 13, 13, 13]","[60, 60, 60, 60, 60, 60, 60, 60]",480,2023/05/02,0,"['STH_DBA3_0020', 'STH_DAB3_0005', 'STH_DAA3_0025', 'STH_DBA3_0015', nan, nan, 'STH_DBA3_0034', 'STH_DBA3_0021']"
598,구미고1 수학2_중간대비_002,,,,"[1, 11, 3, 4, 1, 2, 1, 5]","[12, 12, 12, 12, 13, 13, 13, 13]","[60, 60, 60, 60, 60, 60, 60, 60]",480,2023/05/02,0,"['STH_DAB3_0008', 'STH_DAB3_0023', 'STH_DAA3_0006', 'STH_DBA3_0030', 'STH_DAA3_0019', 'STH_DAA3_0002', 'STH_DBA3_0028', 'STH_DBA3_0009']"
599,구미고1 수학2_중간대비_003,,,,"[4, 5, 3, 1, 3, 1, 1, 1]","[12, 12, 12, 12, 13, 13, 13, 13]","[60, 60, 60, 60, 60, 60, 60, 60]",480,2023/05/02,0,"[nan, nan, 'STH_DAB3_0016', 'STH_DAA3_0027', nan, 'STH_DAB3_0011', 'STH_DAB3_0019', 'STH_DAB3_0014']"
600,구미고1 수학2_중간대비_004,,,,"[2, -1, 1, 4, 3, 3, 3, 5]","[12, 12, 12, 12, 13, 13, 13, 13]","[60, 60, 60, 60, 60, 60, 60, 60]",480,2023/05/02,0,"['STH_DBA3_0008', 'STH_DAA3_0023', 'STH_DAA3_0011', nan, nan, 'STH_DBA3_0012', 'STH_DBA3_0033', 'STH_DAA3_0017']"
601,구미고1 수학2_중간대비_005,,,,"[4, 4, 3, 4, 5, 1, 4, 4]","[12, 12, 12, 12, 13, 13, 13, 13]","[60, 60, 60, 60, 60, 60, 60, 60]",480,2023/05/02,0,"['STH_DBA3_0024', 'STH_DAA3_0005', 'STH_DAB3_0013', 'STH_DAB3_0020', 'STH_DBA3_0019', 'STH_DAA3_0024', nan, 'STH_DAB3_0010']"
602,중3-1(이차방정식~이차함수)_001,,,,"[1, 2, 2, 5, 2, 1, 4, 4]","[12, 12, 12, 12, 13, 13, 13, 13]","[60, 60, 60, 60, 60, 60, 60, 60]",480,2023/05/02,0,"['BDM_MAC3_0011', 'BDM_MAD3_0043', 'BDM_MAD3_0117', 'BDM_MAD3_0188', 'BDM_MAD3_0226', 'BDM_MAC3_0214', 'BDM_MAD3_0237', 'BDM_MAD3_0110']"
603,중3-1(이차방정식~이차함수)_002,,,,"[6, 3, 4, 2, 0, 4, 3, 2]","[12, 12, 12, 12, 13, 13, 13, 13]","[60, 60, 60, 60, 60, 60, 60, 60]",480,2023/05/02,0,"['BDM_MAC3_0181', 'BDM_MAD3_0018', 'BDM_MAD3_0105', 'BDM_MAC3_0156', 'BDM_MAD3_0073', 'BDM_MAD3_0041', 'BDM_MAC3_0044', 'BDM_MAC3_0208']"
604,중3-1(이차방정식~이차함수)_003,,,,"['3', '4', '4,5', '4', '5', '4', '5', '4']","[12, 12, 12, 12, 13, 13, 13, 13]","[60, 60, 60, 60, 60, 60, 60, 60]",480,2023/05/02,0,"['BDM_MAC3_0013', 'BDM_MAC3_0210', 'BDM_MAD3_0001', 'BDM_MAC3_0172', 'BDM_MAD3_0239', 'BDM_MAC3_0073', 'BDM_MAD3_0049', 'BDM_MAD3_0141']"
605,중3-1(이차방정식~이차함수)_004,,,,"[3, 2, -2, 1, 1, 30, 4, 29]","[12, 12, 12, 12, 13, 13, 13, 13]","[60, 60, 60, 60, 60, 60, 60, 60]",480,2023/05/02,0,"['BDM_MAC3_0147', 'BDM_MAD3_0016', 'BDM_MAC3_0246', 'BDM_MAD3_0107', 'BDM_MAD3_0068', 'BDM_MAC3_0171', 'BDM_MAC3_0170', 'BDM_MAD3_0248']"
606,중3-1(이차방정식~이차함수)_005,,,,"[2, 3, 1, 2, 2, 3, 2, 18]","[12, 12, 12, 12, 13, 13, 13, 13]","[60, 60, 60, 60, 60, 60, 60, 60]",480,2023/05/02,0,"['BDM_MAD3_0223', 'BDM_MAC3_0059', 'BDM_MAD3_0254', 'BDM_MAC3_0102', 'BDM_MAD3_0155', 'BDM_MAC3_0123', 'BDM_MAC3_0088', 'BDM_MAD3_0274']"
607,중3-1(이차방정식~이차함수)_006,,,,"[24, 4, 3, 2, 30, 1, 3, 4]","[12, 12, 12, 12, 13, 13, 13, 13]","[60, 60, 60, 60, 60, 60, 60, 60]",480,2023/05/02,0,"['BDM_MAC3_0169', 'BDM_MAD3_0120', 'BDM_MAC3_0021', 'BDM_MAC3_0049', 'BDM_MAD3_0061', 'BDM_MAC3_0038', 'BDM_MAD3_0233', 'BDM_MAD3_0029']"
608,중3-1(이차방정식~이차함수)_007,,,,"[4, 5, 5, 5, 2, 2, 5, 27]","[12, 12, 12, 12, 13, 13, 13, 13]","[60, 60, 60, 60, 60, 60, 60, 60]",480,2023/05/02,0,"['BDM_MAD3_0058', 'BDM_MAD3_0191', 'BDM_MAD3_0124', 'BDM_MAC3_0005', 'BDM_MAC3_0007', 'BDM_MAD3_0171', 'BDM_MAC3_0093', 'BDM_MAC3_0040']"
609,중3-1(이차방정식~이차함수)_008,,,,"[2, 1, 5, 4, 4, 1, -5, 1]","[12, 12, 12, 12, 13, 13, 13, 13]","[60, 60, 60, 60, 60, 60, 60, 60]",480,2023/05/02,0,"['BDM_MAD3_0177', 'BDM_MAC3_0053', 'BDM_MAD3_0035', 'BDM_MAD3_0010', 'BDM_MAD3_0255', 'BDM_MAC3_0162', 'BDM_MAC3_0101', 'BDM_MAC3_0052']"
610,중3-1(이차방정식~이차함수)_009,,,,"[4, 3, 4, 4, 4, 2, 3, 3]","[12, 12, 12, 12, 13, 13, 13, 13]","[60, 60, 60, 60, 60, 60, 60, 60]",480,2023/05/02,0,"['BDM_MAD3_0164', 'BDM_MAC3_0247', 'BDM_MAD3_0203', 'BDM_MAC3_0176', 'BDM_MAD3_0036', 'BDM_MAD3_0062', 'BDM_MAD3_0134', 'BDM_MAD3_0165']"
611,중3-1(이차방정식~이차함수)_010,,,,"['2', '2', '1', '2,4', '2', '12', '3', '4']","[12, 12, 12, 12, 13, 13, 13, 13]","[60, 60, 60, 60, 60, 60, 60, 60]",480,2023/05/02,0,"['BDM_MAD3_0154', 'BDM_MAD3_0097', 'BDM_MAC3_0096', 'BDM_MAC3_0072', 'BDM_MAC3_0167', 'BDM_MAC3_0025', 'BDM_MAC3_0103', 'BDM_MAD3_0085']"
612,중3-1(이차방정식~이차함수)_011,,,,"[3, 4, 5, 5, 4, 5, 4, 4]","[12, 12, 12, 12, 13, 13, 13, 13]","[60, 60, 60, 60, 60, 60, 60, 60]",480,2023/05/02,0,"['BDM_MAC3_0124', 'BDM_MAC3_0207', 'BDM_MAC3_0057', 'BDM_MAC3_0224', 'BDM_MAD3_0218', 'BDM_MAD3_0005', 'BDM_MAC3_0098', 'BDM_MAC3_0244']"
613,중3-1(이차방정식~이차함수)_012,,,,"[1, 4, 1, -2, 18, 3, 4, 2]","[12, 12, 12, 12, 13, 13, 13, 13]","[60, 60, 60, 60, 60, 60, 60, 60]",480,2023/05/02,0,"['BDM_MAD3_0253', 'BDM_MAD3_0030', 'BDM_MAC3_0231', 'BDM_MAC3_0132', 'BDM_MAD3_0081', 'BDM_MAD3_0111', 'BDM_MAC3_0155', 'BDM_MAD3_0162']"
614,중3-1(이차방정식~이차함수)_013,,,,"[3, 3, 10, 2, 36, 1, 5, 5]","[12, 12, 12, 12, 13, 13, 13, 13]","[60, 60, 60, 60, 60, 60, 60, 60]",480,2023/05/02,0,"['BDM_MAC3_0250', 'BDM_MAD3_0176', 'BDM_MAD3_0026', 'BDM_MAD3_0180', 'BDM_MAC3_0241', 'BDM_MAC3_0165', 'BDM_MAD3_0196', 'BDM_MAC3_0009']"
615,중3-1(이차방정식~이차함수)_014,,,,"[4, 21, 16, 5, 5, 4, 1, 36]","[12, 12, 12, 12, 13, 13, 13, 13]","[60, 60, 60, 60, 60, 60, 60, 60]",480,2023/05/02,0,"['BDM_MAC3_0002', 'BDM_MAC3_0051', 'BDM_MAD3_0143', 'BDM_MAC3_0069', 'BDM_MAC3_0199', 'BDM_MAC3_0060', 'BDM_MAC3_0106', 'BDM_MAC3_0196']"
616,중3-1(이차방정식~이차함수)_015,,,,"[3, 64, 5, 2, 2, 4, 1, 5]","[12, 12, 12, 12, 13, 13, 13, 13]","[60, 60, 60, 60, 60, 60, 60, 60]",480,2023/05/02,0,"['BDM_MAC3_0166', 'BDM_MAD3_0038', 'BDM_MAD3_0089', 'BDM_MAD3_0160', 'BDM_MAC3_0128', 'BDM_MAD3_0094', 'BDM_MAD3_0047', 'BDM_MAC3_0097']"
617,중3-1(이차방정식~이차함수)_016,,,,"[3, 5, 3, 2, 4, 3, 5, 3]","[12, 12, 12, 12, 13, 13, 13, 13]","[60, 60, 60, 60, 60, 60, 60, 60]",480,2023/05/02,0,"['BDM_MAD3_0077', 'BDM_MAC3_0248', 'BDM_MAC3_0014', 'BDM_MAC3_0104', 'BDM_MAD3_0045', 'BDM_MAC3_0120', 'BDM_MAC3_0151', 'BDM_MAD3_0173']"
618,중3-1(이차방정식~이차함수)_017,,,,"['2', '1', '2', '3,4', '5', '2', '-13', '3']","[12, 12, 12, 12, 13, 13, 13, 13]","[60, 60, 60, 60, 60, 60, 60, 60]",480,2023/05/02,0,"['BDM_MAD3_0086', 'BDM_MAC3_0087', 'BDM_MAD3_0070', 'BDM_MAC3_0077', 'BDM_MAC3_0029', 'BDM_MAD3_0225', 'BDM_MAC3_0003', 'BDM_MAD3_0181']"
619,중3-1(이차방정식~이차함수)_018,,,,"[1, 4, 4, 3, 28, 4, 5, 4]","[12, 12, 12, 12, 13, 13, 13, 13]","[60, 60, 60, 60, 60, 60, 60, 60]",480,2023/05/02,0,"['BDM_MAD3_0163', 'BDM_MAD3_0228', 'BDM_MAC3_0065', 'BDM_MAD3_0205', 'BDM_MAD3_0149', 'BDM_MAD3_0137', 'BDM_MAD3_0234', 'BDM_MAC3_0035']"
620,중3-1(이차방정식~이차함수)_019,,,,"[4, 1, 6, 3, 4, 3, 5, 5]","[12, 12, 12, 12, 13, 13, 13, 13]","[60, 60, 60, 60, 60, 60, 60, 60]",480,2023/05/02,0,"['BDM_MAD3_0256', 'BDM_MAD3_0129', 'BDM_MAD3_0063', 'BDM_MAC3_0080', 'BDM_MAC3_0017', 'BDM_MAD3_0006', 'BDM_MAD3_0174', 'BDM_MAD3_0071']"
621,중3-1(이차방정식~이차함수)_020,,,,"[2, 3, 2, 1, 36, 1, 2, 5]","[12, 12, 12, 12, 13, 13, 13, 13]","[60, 60, 60, 60, 60, 60, 60, 60]",480,2023/05/02,0,"['BDM_MAD3_0235', 'BDM_MAC3_0173', 'BDM_MAC3_0141', 'BDM_MAC3_0030', 'BDM_MAC3_0115', 'BDM_MAD3_0028', 'BDM_MAC3_0033', 'BDM_MAD3_0103']"
622,중3-1(이차방정식~이차함수)_021,,,,"[-7, 3, 4, 4, 4, 2, 4, 1]","[12, 12, 12, 12, 13, 13, 13, 13]","[60, 60, 60, 60, 60, 60, 60, 60]",480,2023/05/02,0,"['BDM_MAC3_0136', 'BDM_MAD3_0221', 'BDM_MAC3_0082', 'BDM_MAC3_0198', 'BDM_MAC3_0083', 'BDM_MAC3_0138', 'BDM_MAC3_0233', 'BDM_MAC3_0094']"
623,중3-1(이차방정식~이차함수)_022,,,,"[1, -3, 5, 5, 4, 4, 1, 4]","[12, 12, 12, 12, 13, 13, 13, 13]","[60, 60, 60, 60, 60, 60, 60, 60]",480,2023/05/02,0,"['BDM_MAC3_0110', 'BDM_MAC3_0022', 'BDM_MAD3_0210', 'BDM_MAC3_0010', 'BDM_MAC3_0216', 'BDM_MAD3_0048', 'BDM_MAC3_0047', 'BDM_MAC3_0249']"
624,중3-1(이차방정식~이차함수)_023,,,,"[1, 5, 2, 6, 2, 3, 1, 2]","[12, 12, 12, 12, 13, 13, 13, 13]","[60, 60, 60, 60, 60, 60, 60, 60]",480,2023/05/02,0,"['BDM_MAD3_0270', 'BDM_MAC3_0183', 'BDM_MAD3_0259', 'BDM_MAC3_0084', 'BDM_MAD3_0189', 'BDM_MAC3_0090', 'BDM_MAC3_0153', 'BDM_MAC3_0159']"
625,중3-1(이차방정식~이차함수)_024,,,,"['5', '2,4', '5', '1', '4', '8', '2', '3']","[12, 12, 12, 12, 13, 13, 13, 13]","[60, 60, 60, 60, 60, 60, 60, 60]",480,2023/05/02,0,"['BDM_MAD3_0066', 'BDM_MAD3_0013', 'BDM_MAC3_0016', 'BDM_MAD3_0128', 'BDM_MAD3_0267', 'BDM_MAC3_0252', 'BDM_MAC3_0024', 'BDM_MAD3_0158']"
626,중3-1(이차방정식~이차함수)_025,,,,"['3', '1,4', '31', '3', '1', '5', '3', '4']","[12, 12, 12, 12, 13, 13, 13, 13]","[60, 60, 60, 60, 60, 60, 60, 60]",480,2023/05/02,0,"['BDM_MAD3_0217', 'BDM_MAD3_0065', 'BDM_MAC3_0042', 'BDM_MAD3_0184', 'BDM_MAC3_0190', 'BDM_MAD3_0017', 'BDM_MAD3_0078', 'BDM_MAD3_0166']"
627,중3-1(이차방정식~이차함수)_026,,,,"[5, 5, 1, 5, 30, 12, 1, 2]","[12, 12, 12, 12, 13, 13, 13, 13]","[60, 60, 60, 60, 60, 60, 60, 60]",480,2023/05/02,0,"['BDM_MAC3_0227', 'BDM_MAC3_0107', 'BDM_MAC3_0006', 'BDM_MAC3_0131', 'BDM_MAD3_0131', 'BDM_MAC3_0188', 'BDM_MAD3_0133', 'BDM_MAD3_0039']"
628,중3-1(이차방정식~이차함수)_027,,,,"[3, 2, 40, 4, 3, 3, 45, 5]","[12, 12, 12, 12, 13, 13, 13, 13]","[60, 60, 60, 60, 60, 60, 60, 60]",480,2023/05/02,0,"['BDM_MAC3_0105', 'BDM_MAC3_0238', 'BDM_MAD3_0025', 'BDM_MAC3_0144', 'BDM_MAD3_0009', 'BDM_MAD3_0258', 'BDM_MAD3_0022', 'BDM_MAC3_0019']"
629,중3-1(이차방정식~이차함수)_028,,,,"['2', '2', '1,5', '-2', '1', '-8', '62', '4']","[12, 12, 12, 12, 13, 13, 13, 13]","[60, 60, 60, 60, 60, 60, 60, 60]",480,2023/05/02,0,"['BDM_MAD3_0053', 'BDM_MAD3_0193', 'BDM_MAC3_0130', 'BDM_MAC3_0058', 'BDM_MAD3_0119', 'BDM_MAC3_0023', 'BDM_MAC3_0242', 'BDM_MAC3_0026']"
630,중3-1(이차방정식~이차함수)_029,,,,"[4, 255, 2, 2, 2, 3, 20, 39]","[12, 12, 12, 12, 13, 13, 13, 13]","[60, 60, 60, 60, 60, 60, 60, 60]",480,2023/05/02,0,"['BDM_MAD3_0118', 'BDM_MAC3_0243', 'BDM_MAC3_0119', 'BDM_MAD3_0187', 'BDM_MAC3_0078', 'BDM_MAD3_0145', 'BDM_MAD3_0264', 'BDM_MAC3_0221']"
631,중3-1(이차방정식~이차함수)_030,,,,"[5, 3, 3, 5, 1, 3, 8, -1]","[12, 12, 12, 12, 13, 13, 13, 13]","[60, 60, 60, 60, 60, 60, 60, 60]",480,2023/05/02,0,"['BDM_MAC3_0180', 'BDM_MAD3_0087', 'BDM_MAC3_0063', 'BDM_MAD3_0052', 'BDM_MAC3_0206', 'BDM_MAD3_0238', 'BDM_MAC3_0061', 'BDM_MAC3_0174']"
632,중3-1(이차방정식~이차함수)_031,,,,"[5, 3, 1, 1, 1, 1, 4, 1]","[12, 12, 12, 12, 13, 13, 13, 13]","[60, 60, 60, 60, 60, 60, 60, 60]",480,2023/05/02,0,"['BDM_MAD3_0147', 'BDM_MAD3_0232', 'BDM_MAD3_0064', 'BDM_MAC3_0161', 'BDM_MAD3_0014', 'BDM_MAD3_0121', 'BDM_MAD3_0216', 'BDM_MAD3_0113']"
633,중3-1(이차방정식~이차함수)_032,,,,"[3, 3, 4, 3, 3, 31, 1, 3]","[12, 12, 12, 12, 13, 13, 13, 13]","[60, 60, 60, 60, 60, 60, 60, 60]",480,2023/05/02,0,"['BDM_MAC3_0008', 'BDM_MAC3_0142', 'BDM_MAD3_0242', 'BDM_MAD3_0012', 'BDM_MAC3_0202', 'BDM_MAD3_0024', 'BDM_MAC3_0089', 'BDM_MAC3_0201']"
634,중3-1(이차방정식~이차함수)_033,,,,"[4, 27, 1, 5, 5, 1, 5, 5]","[12, 12, 12, 12, 13, 13, 13, 13]","[60, 60, 60, 60, 60, 60, 60, 60]",480,2023/05/02,0,"['BDM_MAD3_0100', 'BDM_MAC3_0043', 'BDM_MAD3_0159', 'BDM_MAD3_0136', 'BDM_MAC3_0163', 'BDM_MAD3_0076', 'BDM_MAC3_0251', 'BDM_MAC3_0134']"
635,중3-1(이차방정식~이차함수)_034,,,,"['3', '2', '2', '3,4', '4', '4', '3', '4']","[12, 12, 12, 12, 13, 13, 13, 13]","[60, 60, 60, 60, 60, 60, 60, 60]",480,2023/05/02,0,"['BDM_MAC3_0219', 'BDM_MAD3_0204', 'BDM_MAD3_0011', 'BDM_MAD3_0195', 'BDM_MAC3_0187', 'BDM_MAD3_0186', 'BDM_MAD3_0091', 'BDM_MAD3_0209']"
636,중3-1(이차방정식~이차함수)_035,,,,"[16, 4, 2, 1, 10, 1, 2, 1]","[12, 12, 12, 12, 13, 13, 13, 13]","[60, 60, 60, 60, 60, 60, 60, 60]",480,2023/05/02,0,"['BDM_MAD3_0090', 'BDM_MAD3_0245', 'BDM_MAC3_0237', 'BDM_MAD3_0148', 'BDM_MAC3_0004', 'BDM_MAD3_0135', 'BDM_MAD3_0021', 'BDM_MAC3_0114']"
637,중3-1(이차방정식~이차함수)_036,,,,"[4, 1, 1, 3, 5, 5, 2, 3]","[12, 12, 12, 12, 13, 13, 13, 13]","[60, 60, 60, 60, 60, 60, 60, 60]",480,2023/05/02,0,"['BDM_MAD3_0265', 'BDM_MAC3_0194', 'BDM_MAD3_0108', 'BDM_MAC3_0118', 'BDM_MAC3_0168', 'BDM_MAC3_0126', 'BDM_MAD3_0008', 'BDM_MAC3_0143']"
638,중3-1(이차방정식~이차함수)_037,,,,"[1, 4, 5, 2, 2, 5, 6, 8]","[12, 12, 12, 12, 13, 13, 13, 13]","[60, 60, 60, 60, 60, 60, 60, 60]",480,2023/05/02,0,"['BDM_MAC3_0235', 'BDM_MAD3_0079', 'BDM_MAD3_0044', 'BDM_MAD3_0212', 'BDM_MAD3_0146', 'BDM_MAD3_0007', 'BDM_MAD3_0273', 'BDM_MAD3_0266']"
639,중3-1(이차방정식~이차함수)_038,,,,"[4, 7, 5, 4, 1, 4, 78, 3]","[12, 12, 12, 12, 13, 13, 13, 13]","[60, 60, 60, 60, 60, 60, 60, 60]",480,2023/05/02,0,"['BDM_MAC3_0113', 'BDM_MAD3_0082', 'BDM_MAD3_0202', 'BDM_MAC3_0179', 'BDM_MAD3_0019', 'BDM_MAC3_0039', 'BDM_MAC3_0239', 'BDM_MAD3_0123']"
640,중3-1(이차방정식~이차함수)_039,,,,"['25', '3', '12', '1', '2', '4', '-8', '2,5']","[12, 12, 12, 12, 13, 13, 13, 13]","[60, 60, 60, 60, 60, 60, 60, 60]",480,2023/05/02,0,"['BDM_MAD3_0023', 'BDM_MAC3_0189', 'BDM_MAC3_0020', 'BDM_MAC3_0129', 'BDM_MAC3_0230', 'BDM_MAD3_0249', 'BDM_MAD3_0114', 'BDM_MAD3_0192']"
641,중3-1(이차방정식~이차함수)_040,,,,"[3, 5, 3, 16, 5, 3, 1, 4]","[12, 12, 12, 12, 13, 13, 13, 13]","[60, 60, 60, 60, 60, 60, 60, 60]",480,2023/05/02,0,"['BDM_MAC3_0081', 'BDM_MAD3_0227', 'BDM_MAC3_0234', 'BDM_MAC3_0152', 'BDM_MAC3_0157', 'BDM_MAD3_0122', 'BDM_MAC3_0109', 'BDM_MAD3_0263']"
642,(삼각함수+도함수)_001,,,,"[4, 4, 3, 5, 3, 4, 5, 1]","[12, 12, 12, 12, 13, 13, 13, 13]","[60, 60, 60, 60, 60, 60, 60, 60]",480,2023/05/09,0,"['BDH_DBB3_0062', 'BDH_CBA3_0165', 'BDH_DBB3_0084', 'BDH_DBB3_0011', 'BDH_CBA3_0080', 'BDH_CBA3_0046', 'BDH_CBB3_0100', 'BDH_CBA3_0117']"
643,(삼각함수+도함수)_002,,,,"[4, 3, 3, 4, 1, 3, 2, 4]","[12, 12, 12, 12, 13, 13, 13, 13]","[60, 60, 60, 60, 60, 60, 60, 60]",480,2023/05/09,0,"['BDH_CBA3_0091', 'BDH_DBB3_0212', 'BDH_DBB3_0234', 'BDH_DBB3_0083', 'BDH_CBB3_0051', 'BDH_DBB3_0243', 'BDH_CBA3_0014', 'BDH_DBB3_0130']"
644,(삼각함수+도함수)_003,,,,"[3, 3, 2, 4, 4, 2, 3, 24]","[12, 12, 12, 12, 13, 13, 13, 13]","[60, 60, 60, 60, 60, 60, 60, 60]",480,2023/05/09,0,"['BDH_DBB3_0123', 'BDH_DBB3_0146', 'BDH_CBA3_0056', 'BDH_DBB3_0185', 'BDH_DBB3_0072', 'BDH_DBB3_0063', 'BDH_CBB3_0090', 'BDH_DBB3_0046']"
645,(삼각함수+도함수)_004,,,,"[2, 1, 20, 3, 3, 2, 4, 4]","[12, 12, 12, 12, 13, 13, 13, 13]","[60, 60, 60, 60, 60, 60, 60, 60]",480,2023/05/09,0,"['BDH_DBB3_0169', 'BDH_CBA3_0050', 'BDH_DBB3_0013', 'BDH_DBB3_0044', 'BDH_CBB3_0064', 'BDH_CBA3_0112', 'BDH_CBA3_0133', 'BDH_CBA3_0129']"
646,"수학(상,하)_함수+방정식_001",,,,"[2, 2, 1, 4, 3, 4, 4, 46]","[10, 10, 10, 10, 10, 10, 10, 30]","[60, 60, 60, 60, 60, 60, 60, 180]",600,2023/05/09,0,"['BDH_ABC3_0069', 'BDH_ABC3_0059', 'BDH_ABE3_0109', 'BDH_ABB3_0132', 'BDH_ABB3_0022', 'BDH_ABC3_0136', 'BDH_BBA3_0055', 'BDH_ABD4_0100']"
647,"수학(상,하)_함수+방정식_002",,,,"[3, 5, 5, 1, 2, 4, 42, 25]","[10, 10, 10, 10, 10, 10, 10, 30]","[60, 60, 60, 60, 60, 60, 60, 180]",600,2023/05/09,0,"['BDH_ABD3_0042', 'BDH_ABB3_0161', 'BDH_ABD3_0003', 'BDH_ABE3_0150', 'BDH_ABE3_0108', 'BDH_ABE3_0032', 'BDH_BBA3_0046', 'BDH_ABE4_0039']"
648,"수학(상,하)_함수+방정식_003",,,,"[4, 2, 2, 5, -1, 26, -16, 6]","[10, 10, 10, 10, 10, 10, 10, 30]","[60, 60, 60, 60, 60, 60, 60, 180]",600,2023/05/09,0,"['BDH_BBA3_0005', 'BDH_ABC3_0037', 'BDH_ABB3_0146', 'BDH_ABD3_0009', 'BDH_ABC3_0034', 'BDH_BBB3_0064', 'BDH_ABC3_0011', 'BDH_ABD4_0072']"
649,"수학(상,하)_함수+방정식_004",,,,"[1, 3, 1, 4, 3, 2, 3, 5]","[10, 10, 10, 10, 10, 10, 10, 30]","[60, 60, 60, 60, 60, 60, 60, 180]",600,2023/05/09,0,"['BDH_ABC3_0010', 'BDH_ABB3_0109', 'BDH_BBA3_0042', 'BDH_ABE3_0075', 'BDH_ABE3_0138', 'BDH_ABD3_0027', 'BDH_ABE3_0067', 'BDH_ABE4_0030']"
650,"수학(상,하)_함수+방정식_005",,,,"[16, 2, 1, 4, 4, 4, 5, 3]","[10, 10, 10, 10, 10, 10, 10, 30]","[60, 60, 60, 60, 60, 60, 60, 180]",600,2023/05/09,0,"['BDH_ABB3_0086', 'BDH_BBB3_0041', 'BDH_BBA3_0037', 'BDH_ABE3_0065', 'BDH_BBA3_0017', 'BDH_BBB3_0110', 'BDH_ABB3_0138', 'BDH_ABD4_0074']"
